,Columns,restaurant_csvs_store_data,restaurant_csvs_payment_data,restaurant_csvs_order_line,restaurant_csvs_order_data,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,50451573,6008,,10990,11065,2018-11-27 18:57:58 UTC,2018-11-27 18:58:59 UTC,CLOSED,Tiller iPAD,1,25,25,,,,,,,,
,,,,,,,,,50451883,730,8292,1095,754,2018-11-27 19:01:28 UTC,2018-11-27 19:06:29 UTC,CLOSED,Tiller iPAD,1,28.8,28.8,,,,,,,,
,,,,,,,,,50454421,351,19304,461,128,2018-11-27 19:17:04 UTC,2018-11-27 21:18:41 UTC,CLOSED,Tiller iPAD,2,55,55,,,,,,,,
,,,,,,,,,1904545,2035,,2753,716,2016-07-07 17:28:36 UTC,2016-07-07 18:05:32 UTC,CLOSED,,0,27,27,,,,,,,,
,,,,,,,,,19691004,2035,30578,2752,5949,2018-01-20 18:23:38 UTC,2018-01-20 19:08:46 UTC,CLOSED,Tiller iPAD,2,47.85,47.85,,,,,,,,
,,,,,,,,,19702583,1513,15668,2464,424,2018-01-20 19:21:43 UTC,2018-01-20 21:13:48 UTC,CLOSED,Tiller iPAD,2,49.8,49.8,,,,,,,,
,,,,,,,,,21385338,2035,19448,2753,5949,2018-02-15 11:53:42 UTC,2018-02-15 12:45:43 UTC,CLOSED,Tiller iPAD,5,111.1,111.1,,,,,,,,
,,,,,,,,,95904308,6827,,14302,13022,2019-10-03 11:17:30 UTC,2019-10-03 11:20:04 UTC,CLOSED,Tiller iPAD,1,54,54,,,,,,,,
,,,,,,,,,65244054,8291,,16823,15747,2019-03-26 12:45:35 UTC,2019-03-26 12:45:39 UTC,CLOSED,Tiller iPAD,1,9.9,9.9,,,,,,,,
,,,,,,,,,133548128,6830,133611,25560,,2020-07-18 18:35:54 UTC,2020-07-18 18:37:49 UTC,CLOSED,tiller-order,3,60.6,60.6,,,,,,,,
